T,sigma,H,Best Beta,Average Error
2.9,0.55,96,0.6606999999999934,0.002370588958637495
2.9,0.55,97,0.6748999999999918,0.0002749682949940445
2.9,0.55,98,0.6924999999999899,0.0002196448072716143
2.9,0.55,99,0.7110999999999879,0.0004971049526293604
2.9,0.6,90,0.6077999999999882,0.0006590491075043572
2.9,0.6,91,0.6146999999999875,0.002265725666109405
2.9,0.6,92,0.6237999999999865,0.0006680869786907322
2.9,0.6,93,0.6345999999999853,0.0029457143057881057
2.9,0.6,94,0.6443999999999842,0.0013690534580597926
2.9,0.6,95,0.6538999999999942,0.002516384153441277
2.9,0.6,96,0.6653999999999929,0.004387447787079654
2.9,0.6,97,0.6797999999999913,0.0026842445148650197
2.9,0.6,98,0.6956999999999895,0.0025012039365875033
2.9,0.6,99,0.7120999999999877,0.0006803863698470001
3.0,0.2,90,0.5884999999999904,4.556297104890556e-05
3.0,0.2,91,0.5888999999999903,0.0001618774115673511
3.0,0.2,92,0.5854999999999907,0.0004389060988441181
3.0,0.2,93,0.5869999999999905,0.0011764485925793778
3.0,0.2,94,0.5896999999999902,0.0012426860606490804
3.0,0.2,95,0.5934999999999898,0.00041740979431922724
3.0,0.2,96,0.6041999999999886,0.00024556998598791036
3.0,0.2,97,0.6207999999999868,0.0006520264906785227
3.0,0.2,98,0.6456999999999841,0.001965966526976994
3.0,0.2,99,0.6834999999999909,0.0026879318334031748
3.0,0.25,90,0.5883999999999904,0.000558979736052601
3.0,0.25,91,0.5901999999999902,0.0014194038981342365
3.0,0.25,92,0.5899999999999902,0.00039862274209935994
3.0,0.25,93,0.5906999999999901,0.0017590068570180392
3.0,0.25,94,0.5944999999999897,0.0016590147408053898
3.0,0.25,95,0.6034999999999887,0.0020401979588502307
3.0,0.25,96,0.6155999999999874,0.0013574570667774198
3.0,0.25,97,0.6330999999999855,0.0013693015704828982
3.0,0.25,98,0.6592999999999936,0.002105455952049671
3.0,0.25,99,0.69129999999999,0.0025134479817176063
3.0,0.3,90,0.5883999999999904,0.00045187952388075234
3.0,0.3,91,0.5899999999999902,0.0001328810134120518
3.0,0.3,92,0.5900999999999902,0.0011224905297044939
3.0,0.3,93,0.5956999999999896,0.0010510652548241738
3.0,0.3,94,0.6027999999999888,0.0006868043996725997
3.0,0.3,95,0.6117999999999878,0.0019386733856063668
3.0,0.3,96,0.6257999999999863,0.0008128565035636141
3.0,0.3,97,0.6447999999999842,0.00017548387460309395
3.0,0.3,98,0.6685999999999925,0.0021460569756724824
3.0,0.3,99,0.6971999999999894,0.0042111810915220985
3.0,0.35,90,0.5877999999999904,0.00029941161913086585
3.0,0.35,91,0.5896999999999902,0.0019975729243793183
3.0,0.35,92,0.5940999999999897,6.082356362971033e-05
3.0,0.35,93,0.600799999999989,0.00010571066403737775
3.0,0.35,94,0.6088999999999881,0.001374852732600749
3.0,0.35,95,0.6196999999999869,0.0018346227779448131
3.0,0.35,96,0.6356999999999852,0.00013335755982490767
3.0,0.35,97,0.6543999999999941,0.0022696812329085557
3.0,0.35,98,0.6753999999999918,0.004213276380384664
3.0,0.35,99,0.700999999999989,0.001545125545954833
3.0,0.4,90,0.5902999999999902,0.0013000031259053407
3.0,0.4,91,0.5944999999999897,0.001447982452658766
3.0,0.4,92,0.601099999999989,0.001387267467507546
3.0,0.4,93,0.6073999999999883,0.0026464147411337903
3.0,0.4,94,0.6170999999999872,0.0010251366653139412
3.0,0.4,95,0.6293999999999859,0.00334867805363097
3.0,0.4,96,0.6443999999999842,0.0011149765682788328
3.0,0.4,97,0.6608999999999934,0.0010294694376575483
3.0,0.4,98,0.6800999999999913,0.0028018635021050185
3.0,0.4,99,0.7041999999999886,0.0028640932530751215
3.0,0.45,90,0.5937999999999898,0.0020666688717614332
3.0,0.45,91,0.5999999999999891,0.0024871454742086685
3.0,0.45,92,0.6056999999999885,0.0002435403878754745
3.0,0.45,93,0.6140999999999875,0.0016753830851632743
3.0,0.45,94,0.6237999999999865,0.0003312060011425264
3.0,0.45,95,0.637199999999985,0.0024012875980124583
3.0,0.45,96,0.6514999999999944,0.0025332388251461104
3.0,0.45,97,0.6675999999999926,0.0019718186936870594
3.0,0.45,98,0.6859999999999906,0.00344242905732003
3.0,0.45,99,0.7068999999999883,0.004806690632662926
3.0,0.5,90,0.5999999999999891,0.00010502849596690174
3.0,0.5,91,0.6044999999999886,0.0018957861936536211
3.0,0.5,92,0.6118999999999878,0.0015940659129163532
3.0,0.5,93,0.6202999999999869,0.0023483694542822888
3.0,0.5,94,0.6314999999999856,0.001715641885711641
3.0,0.5,95,0.6445999999999842,0.0025988722872463225
3.0,0.5,96,0.6577999999999937,0.0020993679281362363
3.0,0.5,97,0.6721999999999921,0.0028501736896136957
3.0,0.5,98,0.6901999999999902,0.0014906318068692293
3.0,0.5,99,0.7089999999999881,0.005375917316011283
3.0,0.55,90,0.6027999999999888,0.0010015771040540406
3.0,0.55,91,0.610099999999988,0.0029175705848533172
3.0,0.55,92,0.6183999999999871,0.0005485689084723481
3.0,0.55,93,0.6275999999999861,0.0020926363991057104
3.0,0.55,94,0.6397999999999847,0.0022041240364681822
3.0,0.55,95,0.6500999999999946,0.0030787219314179657
3.0,0.55,96,0.6619999999999933,0.002842831517072695
3.0,0.55,97,0.6755999999999918,0.0028564089593742284
3.0,0.55,98,0.6931999999999898,0.005108131791254019
3.0,0.55,99,0.7115999999999878,0.0007572121631195204
3.0,0.6,90,0.6092999999999881,0.001079586226918969
3.0,0.6,91,0.6156999999999874,0.002293581880305186
3.0,0.6,92,0.6262999999999862,0.003343551094525404
3.0,0.6,93,0.6360999999999851,0.00019981132326852134
3.0,0.6,94,0.6439999999999843,0.0014711540398126095
3.0,0.6,95,0.655299999999994,0.000649438053458822
3.0,0.6,96,0.6660999999999928,0.00033947448864033494
3.0,0.6,97,0.6808999999999912,0.002067970337803729
3.0,0.6,98,0.6966999999999894,0.004890180790097856
3.0,0.6,99,0.7123999999999877,0.0014006581580507105
3.1,0.2,90,0.5878999999999904,0.000783542447617667
3.1,0.2,91,0.5882999999999904,0.0005738035936267263
3.1,0.2,92,0.5860999999999906,0.0010379829200710129
3.1,0.2,93,0.5870999999999905,0.0014173221917502797
3.1,0.2,94,0.5901999999999902,0.00048717502711640484
3.1,0.2,95,0.5941999999999897,0.0001847876892426931
3.1,0.2,96,0.6048999999999886,0.002268832407977165
3.1,0.2,97,0.6219999999999867,0.0027373561321385894
3.1,0.2,98,0.646699999999984,0.0027472611496005233
3.1,0.2,99,0.6841999999999908,0.0031327861041121406
3.1,0.25,90,0.5875999999999905,0.0007521369802908298
3.1,0.25,91,0.5898999999999902,0.0006226203848544756
3.1,0.25,92,0.5898999999999902,0.00108081937215304
3.1,0.25,93,0.5907999999999901,6.793600564973839e-05
3.1,0.25,94,0.5950999999999896,0.002187030546815192
3.1,0.25,95,0.6044999999999886,0.002001132593980793
3.1,0.25,96,0.6171999999999872,0.0026883648236898285
3.1,0.25,97,0.6337999999999854,0.0022124942910586526
3.1,0.25,98,0.6596999999999935,1.1562937112738915e-05
3.1,0.25,99,0.69209999999999,0.0042781633219193165
3.1,0.3,90,0.5891999999999903,0.0011815868868464757
3.1,0.3,91,0.5901999999999902,3.2050445724911766e-05
3.1,0.3,92,0.5899999999999902,0.0012002459463649612
3.1,0.3,93,0.5959999999999895,0.0009216201055014642
3.1,0.3,94,0.6035999999999887,0.0010609404482209905
3.1,0.3,95,0.6128999999999877,0.000624624183317845
3.1,0.3,96,0.6268999999999861,0.0014777788633179548
3.1,0.3,97,0.646399999999984,0.002133130074602117
3.1,0.3,98,0.6694999999999924,0.0008730967916518766
3.1,0.3,99,0.6978999999999893,0.0035049363733101854
3.1,0.35,90,0.5888999999999903,0.0008154287744148968
3.1,0.35,91,0.5911999999999901,0.0014707799732584992
3.1,0.35,92,0.5947999999999897,0.0003650422589200908
3.1,0.35,93,0.6016999999999889,0.00015168424513085585
3.1,0.35,94,0.610299999999988,0.0026766324734214496
3.1,0.35,95,0.6209999999999868,0.001890325821891358
3.1,0.35,96,0.6365999999999851,0.00200813627228329
3.1,0.35,97,0.654899999999994,0.003234272144101562
3.1,0.35,98,0.6759999999999917,0.0010248068750899361
3.1,0.35,99,0.7014999999999889,0.001023113388640138
3.1,0.4,90,0.5899999999999902,0.00032815078290284296
3.1,0.4,91,0.5959999999999895,0.0004946371624333033
3.1,0.4,92,0.6015999999999889,0.0019738788024581573
3.1,0.4,93,0.6085999999999882,0.0007006981594563068
3.1,0.4,94,0.6175999999999872,0.003144106909700103
3.1,0.4,95,0.6306999999999857,0.0023205115195454344
3.1,0.4,96,0.645799999999984,0.002541494345667793
3.1,0.4,97,0.6614999999999933,0.0011449733979854689
3.1,0.4,98,0.6810999999999912,0.0010386148269560522
3.1,0.4,99,0.7046999999999886,0.0031692697321449256
3.1,0.45,90,0.5953999999999896,0.0011930667002875068
3.1,0.45,91,0.600399999999989,0.0007031748018345962
3.1,0.45,92,0.6066999999999884,0.0002535586885086207
3.1,0.45,93,0.6154999999999874,0.0023492829108130615
3.1,0.45,94,0.6252999999999863,0.0013839099750177105
3.1,0.45,95,0.6383999999999849,0.0017594909096454844
