confidence_interval,option_price,standard_error,m,S0,K,H,q,confidence_level,n_paths,r,sigma,T
8.803031599840923,23.55644165719069,4.4914251839718045,50,100,100,85,0,0.95,100,0.1,0.35,1.9000000000000001
8.255046956441827,18.725426883741935,4.211836044721528,50,100,100,85,0,0.95,100,0.1,0.35,2
8.951952567578623,21.48476234411987,4.567406665729821,50,100,100,85,0,0.95,100,0.1,0.35,2.1
8.31766557135156,23.542409138986823,4.243784904702456,50,100,100,85,0,0.95,100,0.1,0.35,2.2
8.362260127058876,24.733648103798288,4.266537647129906,50,100,100,85,0,0.95,100,0.1,0.35,2.3000000000000003
6.620578672207688,15.543925776834314,3.3779083311887197,50,100,100,85,0,0.95,100,0.1,0.35,2.4000000000000004
8.943965295715062,23.41027390767937,4.5633314521409165,50,100,100,85,0,0.95,100,0.1,0.35,2.5000000000000004
8.753526249020371,24.2431392707814,4.466166887793383,50,100,100,85,0,0.95,100,0.1,0.35,2.6000000000000005
15.011556966151918,36.06521904980274,7.659098373521741,50,100,100,85,0,0.95,100,0.1,0.35,2.7
9.760976641415727,23.754456237161826,4.980181635177517,50,100,100,85,0,0.95,100,0.1,0.35,2.8000000000000003
9.69583778276707,29.690950196730295,4.946946912926259,50,100,100,85,0,0.95,100,0.1,0.35,2.9000000000000004
12.050139677433043,28.466137964365494,6.148143421248047,50,100,100,85,0,0.95,100,0.1,0.35,3.0000000000000004
8.974585794751913,23.512509969296833,4.578954442807267,50,100,100,85,0,0.95,100,0.1,0.35,3.1000000000000005
9.584800999798784,24.017709192822554,4.890294452042217,50,100,100,85,0,0.95,100,0.1,0.35,3.2
18.822770650546694,34.69287956631373,9.603630882515347,50,100,100,85,0,0.95,100,0.1,0.35,3.3000000000000003
16.339032504639466,38.10390445334727,8.336394256996389,50,100,100,85,0,0.95,100,0.1,0.35,3.4000000000000004
8.557664091581847,18.060969434083187,4.3662353793659525,50,100,100,85,0,0.95,100,0.1,0.35,3.5000000000000004
10.12579117010634,25.17117152741062,5.166314916997092,50,100,100,85,0,0.95,100,0.1,0.35,3.6000000000000005
14.378265447271891,29.573452295795633,7.335984518432897,50,100,100,85,0,0.95,100,0.1,0.35,3.7
9.022991102388318,15.697121885016548,4.603651482149938,50,100,100,85,0,0.95,100,0.1,0.35,3.8000000000000003
10.569947794758498,26.877356784942105,5.392929603876856,50,100,100,85,0,0.95,100,0.1,0.35,3.9000000000000004
9.11633936913226,24.119158698287674,4.65127902402329,50,100,100,85,0,0.95,100,0.1,0.35,4
27.057387168592253,39.37747344428837,13.805043042636228,50,100,100,85,0,0.95,100,0.1,0.35,4.1000000000000005
14.45001458486295,30.654627370665835,7.372591893954595,50,100,100,85,0,0.95,100,0.1,0.35,4.2
10.526941656744675,25.070306698680007,5.370987293531845,50,100,100,85,0,0.95,100,0.1,0.35,4.300000000000001
13.276508935978589,31.433745717989165,6.773853520116695,50,100,100,85,0,0.95,100,0.1,0.35,4.4
16.751691321354297,32.70202419248636,8.5469383384029,50,100,100,85,0,0.95,100,0.1,0.35,4.5
14.466273994740515,28.037259290481447,7.380887663675781,50,100,100,85,0,0.95,100,0.1,0.35,4.6000000000000005
17.235526147884297,36.80012615463062,8.793797377827312,50,100,100,85,0,0.95,100,0.1,0.35,4.7
12.261026389824613,22.21052885357631,6.2557406597968255,50,100,100,85,0,0.95,100,0.1,0.35,4.800000000000001
9.629116594398027,21.174823356960683,4.912904864758368,50,100,100,85,0,0.95,100,0.1,0.35,4.9
2.0323277017526187,6.845282810977441,1.0369209423149406,50,100,100,85,0,0.95,100,0.1,0.4,0.2
3.4090155431211246,10.012106808984884,1.7393256049657058,50,100,100,85,0,0.95,100,0.1,0.4,0.30000000000000004
3.4605230991022395,12.150282883566463,1.7656054531605705,50,100,100,85,0,0.95,100,0.1,0.4,0.4
3.18013543678795,8.92810937468822,1.6225478946921743,50,100,100,85,0,0.95,100,0.1,0.4,0.5
5.788001222616577,18.502775199709596,2.9531161124753273,50,100,100,85,0,0.95,100,0.1,0.4,0.6000000000000001
6.08943634378307,17.776944273988736,3.1069123676841857,50,100,100,85,0,0.95,100,0.1,0.4,0.7
3.628844460714726,9.704666595489831,1.8514852769431418,50,100,100,85,0,0.95,100,0.1,0.4,0.8
6.1222950342641065,14.251811559758258,3.1236773137445324,50,100,100,85,0,0.95,100,0.1,0.4,0.9000000000000001
6.452977270660825,17.132305856303454,3.292395840720078,50,100,100,85,0,0.95,100,0.1,0.4,1
6.5042591256754205,15.327547823050322,3.3185605332445838,50,100,100,85,0,0.95,100,0.1,0.4,1.1
6.747397432347637,17.18200071525709,3.4426129692026217,50,100,100,85,0,0.95,100,0.1,0.4,1.2
8.400766762891143,22.322496541560632,4.286184250912425,50,100,100,85,0,0.95,100,0.1,0.4,1.3
8.079561970784725,20.2516093249685,4.122301243551044,50,100,100,85,0,0.95,100,0.1,0.4,1.4000000000000001
10.108183627335352,23.21680844291869,5.157331311731958,50,100,100,85,0,0.95,100,0.1,0.4,1.5
6.536644279420205,14.088813805405795,3.3350838744897464,50,100,100,85,0,0.95,100,0.1,0.4,1.6
8.13132657043454,22.522964338227695,4.1487122388846975,50,100,100,85,0,0.95,100,0.1,0.4,1.7
