S0,K,r,m,T,H,sigma,trading_days,price_mc
100,100,0.1,50,4.1,90,0.25,250,25.073
100,100,0.1,50,4.1,90,0.3,250,24.071
100,100,0.1,50,4.1,90,0.35,250,23.528
100,100,0.1,50,4.1,90,0.39999999999999997,250,23.298
100,100,0.1,50,4.1,90,0.44999999999999996,250,23.285
100,100,0.1,50,4.1,90,0.49999999999999994,250,23.436
100,100,0.1,50,4.1,90,0.5499999999999999,250,23.719
100,100,0.1,50,4.1,90,0.5999999999999999,250,24.085
100,100,0.1,50,4.2,90,0.2,250,27.096
100,100,0.1,50,4.2,90,0.25,250,25.382
100,100,0.1,50,4.2,90,0.3,250,24.344
100,100,0.1,50,4.2,90,0.35,250,23.767
100,100,0.1,50,4.2,90,0.39999999999999997,250,23.527
100,100,0.1,50,4.2,90,0.44999999999999996,250,23.518
100,100,0.1,50,4.2,90,0.49999999999999994,250,23.645
100,100,0.1,50,4.2,90,0.5499999999999999,250,23.923
100,100,0.1,50,4.2,90,0.5999999999999999,250,24.31
100,100,0.1,50,4.3,90,0.2,250,27.468
100,100,0.1,50,4.3,90,0.25,250,25.69
100,100,0.1,50,4.3,90,0.3,250,24.604
100,100,0.1,50,4.3,90,0.35,250,24.008
100,100,0.1,50,4.3,90,0.39999999999999997,250,23.756
100,100,0.1,50,4.3,90,0.44999999999999996,250,23.737
100,100,0.1,50,4.3,90,0.49999999999999994,250,23.861
100,100,0.1,50,4.3,90,0.5499999999999999,250,24.144
100,100,0.1,50,4.3,90,0.5999999999999999,250,24.52
100,100,0.1,50,4.4,90,0.2,250,27.835
100,100,0.1,50,4.4,90,0.25,250,25.99
100,100,0.1,50,4.4,90,0.3,250,24.867
100,100,0.1,50,4.4,90,0.35,250,24.248
100,100,0.1,50,4.4,90,0.39999999999999997,250,23.977
100,100,0.1,50,4.4,90,0.44999999999999996,250,23.956
100,100,0.1,50,4.4,90,0.49999999999999994,250,24.075
100,100,0.1,50,4.4,90,0.5499999999999999,250,24.356
100,100,0.1,50,4.4,90,0.5999999999999999,250,24.747
100,100,0.1,50,4.5,90,0.2,250,28.198
100,100,0.1,50,4.5,90,0.25,250,26.291
100,100,0.1,50,4.5,90,0.3,250,25.127
100,100,0.1,50,4.5,90,0.35,250,24.484
100,100,0.1,50,4.5,90,0.39999999999999997,250,24.197
100,100,0.1,50,4.5,90,0.44999999999999996,250,24.16
100,100,0.1,50,4.5,90,0.49999999999999994,250,24.282
100,100,0.1,50,4.5,90,0.5499999999999999,250,24.556
100,100,0.1,50,4.5,90,0.5999999999999999,250,24.966
100,100,0.1,50,4.6,90,0.2,250,28.555
100,100,0.1,50,4.6,90,0.25,250,26.589
100,100,0.1,50,4.6,90,0.3,250,25.384
100,100,0.1,50,4.6,90,0.35,250,24.72
100,100,0.1,50,4.6,90,0.39999999999999997,250,24.417
100,100,0.1,50,4.6,90,0.44999999999999996,250,24.365
100,100,0.1,50,4.6,90,0.49999999999999994,250,24.488
100,100,0.1,50,4.6,90,0.5499999999999999,250,24.769
100,100,0.1,50,4.6,90,0.5999999999999999,250,25.171
100,100,0.1,50,4.7,90,0.2,250,28.911
100,100,0.1,50,4.7,90,0.25,250,26.888
100,100,0.1,50,4.7,90,0.3,250,25.638
100,100,0.1,50,4.7,90,0.35,250,24.944
100,100,0.1,50,4.7,90,0.39999999999999997,250,24.634
100,100,0.1,50,4.7,90,0.44999999999999996,250,24.572
100,100,0.1,50,4.7,90,0.49999999999999994,250,24.693
100,100,0.1,50,4.7,90,0.5499999999999999,250,24.967
100,100,0.1,50,4.7,90,0.5999999999999999,250,25.361
100,100,0.1,50,4.8,90,0.2,250,29.261
100,100,0.1,50,4.8,90,0.25,250,27.179
100,100,0.1,50,4.8,90,0.3,250,25.886
100,100,0.1,50,4.8,90,0.35,250,25.177
100,100,0.1,50,4.8,90,0.39999999999999997,250,24.849
100,100,0.1,50,4.8,90,0.44999999999999996,250,24.781
100,100,0.1,50,4.8,90,0.49999999999999994,250,24.902
100,100,0.1,50,4.8,90,0.5499999999999999,250,25.169
100,100,0.1,50,4.8,90,0.5999999999999999,250,25.565
100,100,0.1,50,4.9,90,0.2,250,29.607
100,100,0.1,50,4.9,90,0.25,250,27.464
100,100,0.1,50,4.9,90,0.3,250,26.136
100,100,0.1,50,4.9,90,0.35,250,25.408
100,100,0.1,50,4.9,90,0.39999999999999997,250,25.076
100,100,0.1,50,4.9,90,0.44999999999999996,250,24.99
100,100,0.1,50,4.9,90,0.49999999999999994,250,25.097
100,100,0.1,50,4.9,90,0.5499999999999999,250,25.37
100,100,0.1,50,4.9,90,0.5999999999999999,250,25.765
100,100,0.1,50,5.0,90,0.2,250,29.955
100,100,0.1,50,5.0,90,0.25,250,27.75
100,100,0.1,50,5.0,90,0.3,250,26.383
100,100,0.1,50,5.0,90,0.35,250,25.635
100,100,0.1,50,5.0,90,0.39999999999999997,250,25.28
100,100,0.1,50,5.0,90,0.44999999999999996,250,25.19
100,100,0.1,50,5.0,90,0.49999999999999994,250,25.3
100,100,0.1,50,5.0,90,0.5499999999999999,250,25.563
100,100,0.1,50,5.0,90,0.5999999999999999,250,25.964
100,100,0.1,50,0.2,91,0.2,250,4.569
100,100,0.1,50,0.2,91,0.25,250,5.318
100,100,0.1,50,0.2,91,0.3,250,5.979
100,100,0.1,50,0.2,91,0.35,250,6.553
100,100,0.1,50,0.2,91,0.39999999999999997,250,7.05
100,100,0.1,50,0.2,91,0.44999999999999996,250,7.495
100,100,0.1,50,0.2,91,0.49999999999999994,250,7.891
100,100,0.1,50,0.2,91,0.5499999999999999,250,8.251
100,100,0.1,50,0.2,91,0.5999999999999999,250,8.588
100,100,0.1,50,0.3,91,0.2,250,5.795
100,100,0.1,50,0.3,91,0.25,250,6.571
100,100,0.1,50,0.3,91,0.3,250,7.219
100,100,0.1,50,0.3,91,0.35,250,7.766
100,100,0.1,50,0.3,91,0.39999999999999997,250,8.244
100,100,0.1,50,0.3,91,0.44999999999999996,250,8.663
100,100,0.1,50,0.3,91,0.49999999999999994,250,9.048
100,100,0.1,50,0.3,91,0.5499999999999999,250,9.394
100,100,0.1,50,0.3,91,0.5999999999999999,250,9.719
100,100,0.1,50,0.4,91,0.2,250,6.842
100,100,0.1,50,0.4,91,0.25,250,7.595
100,100,0.1,50,0.4,91,0.3,250,8.204
100,100,0.1,50,0.4,91,0.35,250,8.723
100,100,0.1,50,0.4,91,0.39999999999999997,250,9.17
100,100,0.1,50,0.4,91,0.44999999999999996,250,9.57
100,100,0.1,50,0.4,91,0.49999999999999994,250,9.937
100,100,0.1,50,0.4,91,0.5499999999999999,250,10.275
100,100,0.1,50,0.4,91,0.5999999999999999,250,10.599
100,100,0.1,50,0.5,91,0.2,250,7.771
100,100,0.1,50,0.5,91,0.25,250,8.476
100,100,0.1,50,0.5,91,0.3,250,9.039
100,100,0.1,50,0.5,91,0.35,250,9.522
100,100,0.1,50,0.5,91,0.39999999999999997,250,9.944
100,100,0.1,50,0.5,91,0.44999999999999996,250,10.327
100,100,0.1,50,0.5,91,0.49999999999999994,250,10.679
100,100,0.1,50,0.5,91,0.5499999999999999,250,11.015
100,100,0.1,50,0.5,91,0.5999999999999999,250,11.329
100,100,0.1,50,0.6,91,0.2,250,8.617
