S0,K,r,m,T,H,sigma,trading_days,price_iter,price,price_adj,H_percent,H_log,best_beta,error_percent,q,Product
300,300,0.1,50,5,266.0,0.4,250,79.8737,54.91767667326239,79.6353357938621,11.3333,0.12028616587450193,0.589,0.29842639834877077,0,0.1264911064067352
300,300,0.1,50,5,266.0,0.5,250,79.6194,49.49688359354266,78.77828534700856,11.3333,0.12028616587450193,0.601,1.0564192307294908,0,0.15811388300841897
300,300,0.1,50,4,267.0,0.3,250,74.5165,58.2506254139888,74.51440257901416,11.0,0.11653381625595151,0.5889,0.002814706790890292,0,0.0848528137423857
300,300,0.1,50,4,267.0,0.4,250,72.1448,50.89485178028319,71.94787398336915,11.0,0.11653381625595151,0.5889,0.27295940473998737,0,0.1131370849898476
300,300,0.1,50,4,267.0,0.5,250,72.3337,46.46941728026286,71.80175787283302,11.0,0.11653381625595151,0.5989,0.7354001346080336,0,0.1414213562373095
300,300,0.1,50,5,267.0,0.3,250,82.4795,62.60039747076789,82.50391990955745,11.0,0.11653381625595151,0.5889,0.029607247325034156,0,0.09486832980505137
300,300,0.1,50,5,267.0,0.4,250,78.7559,53.494774590685026,78.5161635106684,11.0,0.11653381625595151,0.5889,0.3044044818630616,0,0.1264911064067352
300,300,0.1,50,5,267.0,0.5,250,78.6707,48.156923490734755,77.71346719174481,11.0,0.11653381625595151,0.601,1.216758981749476,0,0.15811388300841897
300,300,0.1,50,4,268.0,0.3,250,73.3917,56.84548988961953,73.42531302050145,10.6667,0.1127954941453444,0.5889,0.04579948482110161,0,0.0848528137423857
300,300,0.1,50,4,268.0,0.4,250,71.1313,49.54912781133744,70.88159978882963,10.6667,0.1127954941453444,0.59,0.3510412591508431,0,0.1131370849898476
300,300,0.1,50,4,268.0,0.5,250,71.3541,45.182669990352196,70.77122049523066,10.6667,0.1127954941453444,0.5989,0.8168829888812802,0,0.1414213562373095
300,300,0.1,50,5,268.0,0.3,250,81.3234,61.05826713615559,81.31696634016404,10.6667,0.1127954941453444,0.5889,0.007911203707620577,0,0.09486832980505137
300,300,0.1,50,5,268.0,0.4,250,77.9567,52.06026296240678,77.38713590021538,10.6667,0.1127954941453444,0.5989,0.7306159698712414,0,0.1264911064067352
300,300,0.1,50,5,268.0,0.5,250,77.6232,46.8097864675714,76.64240650788338,10.6667,0.1127954941453444,0.601,1.263531382520455,0,0.15811388300841897
300,300,0.1,50,4,269.0,0.3,250,72.3029,55.41916915515277,72.31868646656581,10.3333,0.10907109505436201,0.5889,0.021833794447821374,0,0.0848528137423857
300,300,0.1,50,4,269.0,0.4,250,70.0182,48.191176026873805,69.80481082065717,10.3333,0.10907109505436201,0.589,0.3047624465393658,0,0.1131370849898476
300,300,0.1,50,4,269.0,0.5,250,70.5525,43.88816269792973,69.73384047121758,10.3333,0.10907109505436201,0.601,1.160355095542212,0,0.1414213562373095
300,300,0.1,50,5,269.0,0.3,250,80.2691,59.495170707818886,80.11287437098095,10.3333,0.10907109505436201,0.5889,0.19462735849666632,0,0.09486832980505137
300,300,0.1,50,5,269.0,0.4,250,76.6875,50.61413534903717,76.24824207531171,10.3333,0.10907109505436201,0.591,0.5727894698461832,0,0.1264911064067352
300,300,0.1,50,5,269.0,0.5,250,76.5541,45.45548712937007,75.56511323892889,10.3333,0.10907109505436201,0.601,1.2918795480204426,0,0.15811388300841897
300,300,0.1,50,4,270.0,0.3,250,71.1567,53.971528909468134,71.19439590732132,10.0,0.10536051565782628,0.5889,0.052975907147635344,0,0.0848528137423857
300,300,0.1,50,4,270.0,0.4,250,69.0452,46.82098778883767,68.71749200153664,10.0,0.10536051565782628,0.591,0.4746282123353297,0,0.1131370849898476
300,300,0.1,50,4,270.0,0.5,250,69.419,42.585911442950064,68.68962780165344,10.0,0.10536051565782628,0.6009,1.0506809351136621,0,0.1414213562373095
300,300,0.1,50,5,270.0,0.3,250,78.9834,57.910986579447126,78.8915328865403,10.0,0.10536051565782628,0.5889,0.11631192561943283,0,0.09486832980505137
300,300,0.1,50,5,270.0,0.4,250,75.6216,49.15638561686967,75.09947147894522,10.0,0.10536051565782628,0.5989,0.69044892075119,0,0.1264911064067352
300,300,0.1,50,5,270.0,0.5,250,75.6295,44.09404010804596,74.48159740021794,10.0,0.10536051565782628,0.6089,1.5177974200306192,0,0.15811388300841897
300,300,0.1,50,4,271.0,0.3,250,70.1163,52.50243581799347,70.0523151737452,9.6667,0.10166365377650018,0.5889,0.0912552805193596,0,0.0848528137423857
300,300,0.1,50,4,271.0,0.4,250,67.9724,45.43855493819862,67.61962875411807,9.6667,0.10166365377650018,0.591,0.5189918935949375,0,0.1131370849898476
300,300,0.1,50,4,271.0,0.5,250,68.4267,41.27593236194342,67.63859263842369,9.6667,0.10166365377650018,0.601,1.1517541567492053,0,0.1414213562373095
300,300,0.1,50,5,271.0,0.3,250,77.7853,56.30559376110895,77.65283132743329,9.6667,0.10166365377650018,0.5889,0.17030039424764878,0,0.09486832980505137
300,300,0.1,50,5,271.0,0.4,250,74.4214,47.68700793141086,73.94081387883644,9.6667,0.10166365377650018,0.591,0.6457633438279429,0,0.1264911064067352
300,300,0.1,50,5,271.0,0.5,250,74.6757,42.725460059632084,73.39186907633211,9.6667,0.10166365377650018,0.61,1.7192084221077166,0,0.15811388300841897
300,300,0.1,50,4,272.0,0.3,250,68.9415,51.011757505017655,68.89231893670342,9.3333,0.09798040836020379,0.5889,0.07133738502438525,0,0.0848528137423857
300,300,0.1,50,4,272.0,0.4,250,66.9389,44.04386978550775,66.51120699355909,9.3333,0.09798040836020379,0.5989,0.638930437220986,0,0.1131370849898476
300,300,0.1,50,4,272.0,0.5,250,67.6273,39.95824168368161,66.58074528026555,9.3333,0.09798040836020379,0.6089,1.5475329042183543,0,0.1414213562373095
300,300,0.1,50,5,272.0,0.3,250,76.5035,54.67887187243721,76.39665968748858,9.3333,0.09798040836020379,0.5889,0.13965414982507074,0,0.09486832980505137
300,300,0.1,50,5,272.0,0.4,250,73.4752,46.205996750988945,72.7722593620328,9.3333,0.09798040836020379,0.6,0.9567046268226593,0,0.1264911064067352
300,300,0.1,50,5,272.0,0.5,250,73.6568,41.3497616618543,72.2959384185572,9.3333,0.09798040836020379,0.611,1.847570871179314,0,0.15811388300841897
300,300,0.1,50,4,273.0,0.3,250,67.7861,49.49936254563339,67.71428270552433,9.0,0.09431067947124129,0.5889,0.10594693377503463,0,0.0848528137423857
300,300,0.1,50,4,273.0,0.4,250,65.8568,42.63692510153457,65.39221312008449,9.0,0.09431067947124129,0.5989,0.7054501280285639,0,0.1131370849898476
300,300,0.1,50,4,273.0,0.5,250,66.4977,38.63285572492778,65.51609616865501,9.0,0.09431067947124129,0.6089,1.476147041694651,0,0.1414213562373095
