H,T,S0,K,m,sigma,price_iter,accuracy,best_beta,Average Error,price,price_adj,H_log,error_percent,Product,q
171,0.8,200,200,50,0.45,30.57745,0.00813,0.5889,0.04735,27.53036,30.59193,0.15665381,0.04735516,0.056921,0
171,0.8,200,200,50,0.5,31.65193,0.00908,0.5889,0.06848,27.94009,31.67361,0.15665381,0.06849503,0.06324555,0
171,0.8,200,200,50,0.55,32.6061,0.01004,0.5889,0.183,28.2553,32.66577,0.15665381,0.18300257,0.06957011,0
171,1.4,200,200,50,0.2,31.80963,0.0052,0.5889,0.01632,30.93017,31.81482,0.15665381,0.01631581,0.0334664,0
171,1.4,200,200,50,0.25,33.42036,0.00641,0.5889,0.0302,31.70559,33.43045,0.15665381,0.03019118,0.041833,0
171,1.4,200,200,50,0.3,34.66925,0.00762,0.5889,0.11138,32.05502,34.70787,0.15665381,0.11139555,0.0501996,0
171,1.4,200,200,50,0.35,35.74967,0.00887,0.5889,0.08467,32.17255,35.77994,0.15665381,0.08467211,0.0585662,0
171,1.4,200,200,50,0.4,36.68617,0.01014,0.5889,0.12135,32.16774,36.73069,0.15665381,0.12135363,0.0669328,0
171,1.4,200,200,50,0.45,37.55901,0.01146,0.5889,0.13359,32.09962,37.60919,0.15665381,0.1336031,0.0752994,0
171,1.4,200,200,50,0.5,38.38265,0.01285,0.5889,0.15955,32.00001,38.44389,0.15665381,0.15955126,0.083666,0
171,1.4,200,200,50,0.55,39.11989,0.0143,0.5889,0.3364,31.88627,39.25149,0.15665381,0.33640176,0.0920326,0
171,2.0,200,200,50,0.2,39.73042,0.00654,0.5889,0.07656,38.08004,39.76084,0.15665381,0.07656602,0.04,0
171,2.0,200,200,50,0.25,40.47406,0.00804,0.5889,0.07444,37.59899,40.50419,0.15665381,0.07444274,0.05,0
171,2.0,200,200,50,0.3,41.04283,0.00955,0.5889,0.12355,36.94486,41.09354,0.15665381,0.12355386,0.06,0
171,2.0,200,200,50,0.35,41.57546,0.01109,0.5889,0.16749,36.27922,41.6451,0.15665381,0.16750266,0.07,0
171,2.0,200,200,50,0.4,42.11821,0.01271,0.5889,0.21221,35.66038,42.20758,0.15665381,0.2121885,0.08,0
171,2.0,200,200,50,0.45,42.70761,0.01443,0.5889,0.21266,35.1044,42.79844,0.15665381,0.21267872,0.09,0
171,2.0,200,200,50,0.5,43.32319,0.01626,0.5889,0.22739,34.61121,43.4217,0.15665381,0.22738399,0.1,0
171,2.0,200,200,50,0.55,43.95408,0.01825,0.5889,0.27739,34.17517,44.07601,0.15665381,0.27740314,0.11,0
171,2.6,200,200,50,0.2,46.71685,0.00777,0.5889,0.05252,44.18921,46.74139,0.15665381,0.05252923,0.04560702,0
171,2.6,200,200,50,0.25,46.52013,0.00953,0.5889,0.08263,42.44832,46.55856,0.15665381,0.0826094,0.05700877,0
171,2.6,200,200,50,0.3,46.40126,0.01129,0.5889,0.13194,40.85166,46.46248,0.15665381,0.13193607,0.06841053,0
171,2.6,200,200,50,0.35,46.43487,0.01313,0.5889,0.17564,39.48234,46.51643,0.15665381,0.17564386,0.07981228,0
171,2.6,200,200,50,0.4,46.61872,0.01509,0.5889,0.21284,38.32929,46.71795,0.15665381,0.21285441,0.09121403,0
171,2.6,200,200,50,0.45,46.91852,0.01722,0.5889,0.27279,37.35927,47.04651,0.15665381,0.27279207,0.10261579,0
171,2.6,200,200,50,0.5,47.34735,0.01953,0.5889,0.27923,36.53868,47.47955,0.15665381,0.27921309,0.11401754,0
171,2.6,200,200,50,0.55,47.88602,0.02213,0.5889,0.23207,35.83899,47.99715,0.15665381,0.23207191,0.1254193,0
171,3.2,200,200,50,0.2,52.99997,0.00889,0.5889,0.07533,49.57848,53.03989,0.15665381,0.0753208,0.05059644,0
171,3.2,200,200,50,0.25,51.84249,0.01089,0.5889,0.16408,46.61285,51.92756,0.15665381,0.1640932,0.06324555,0
171,3.2,200,200,50,0.3,51.07729,0.01292,0.5889,0.17213,44.13402,51.16521,0.15665381,0.17213129,0.07589466,0
171,3.2,200,200,50,0.35,50.62973,0.01505,0.5889,0.22913,42.12399,50.74574,0.15665381,0.22913415,0.08854377,0
171,3.2,200,200,50,0.4,50.47833,0.01736,0.5889,0.25859,40.49474,50.60886,0.15665381,0.25858621,0.10119289,0
171,3.2,200,200,50,0.45,50.55748,0.01991,0.5889,0.26997,39.16191,50.69397,0.15665381,0.26996994,0.113842,0
171,3.2,200,200,50,0.5,50.84373,0.02282,0.5889,0.21207,38.05853,50.95156,0.15665381,0.21208121,0.12649111,0
171,3.2,200,200,50,0.55,51.28742,0.0261,0.5889,0.10923,37.13398,51.34344,0.15665381,0.10922756,0.13914022,0
171,3.8,200,200,50,0.2,58.7812,0.00995,0.5889,0.05118,54.42219,58.81129,0.15665381,0.05118984,0.0551362,0
171,3.8,200,200,50,0.25,56.71265,0.01218,0.5889,0.12952,50.27871,56.78611,0.15665381,0.12953018,0.06892024,0
171,3.8,200,200,50,0.3,55.27813,0.01445,0.5889,0.18689,46.97281,55.38143,0.15665381,0.18687318,0.08270429,0
171,3.8,200,200,50,0.35,54.37764,0.01689,0.5889,0.24611,44.37376,54.51146,0.15665381,0.2460938,0.09648834,0
171,3.8,200,200,50,0.4,53.94589,0.01959,0.5889,0.20313,42.31359,54.05546,0.15665381,0.20311093,0.11027239,0
171,3.8,200,200,50,0.45,53.77807,0.02264,0.5889,0.24975,40.6568,53.91239,0.15665381,0.24976724,0.12405644,0
171,3.8,200,200,50,0.5,53.92588,0.02614,0.5889,0.1488,39.30381,54.00612,0.15665381,0.14879683,0.13784049,0
171,3.8,200,200,50,0.55,54.23221,0.03012,0.5889,0.08954,38.18284,54.28077,0.15665381,0.08954088,0.15162454,0
171,4.4,200,200,50,0.2,64.07607,0.01094,0.5889,0.11708,58.82742,64.15109,0.15665381,0.11707959,0.05932959,0
171,4.4,200,200,50,0.25,61.13019,0.0134,0.5889,0.17821,53.55672,61.23913,0.15665381,0.17820982,0.07416198,0
171,4.4,200,200,50,0.3,59.09165,0.01593,0.5889,0.2131,49.47382,59.21758,0.15665381,0.21310964,0.08899438,0
171,4.4,200,200,50,0.35,57.78333,0.01869,0.5889,0.23416,46.3297,57.91863,0.15665381,0.23415058,0.10382678,0
171,4.4,200,200,50,0.4,57.01408,0.02178,0.5889,0.25704,43.87579,57.16063,0.15665381,0.25704177,0.11865918,0
171,4.4,200,200,50,0.45,56.67361,0.02538,0.5889,0.22747,41.9262,56.80253,0.15665381,0.22747801,0.13349157,0
171,4.4,200,200,50,0.5,56.65492,0.02952,0.5889,0.15419,40.34983,56.74228,0.15665381,0.15419667,0.14832397,0
171,4.4,200,200,50,0.55,56.89136,0.03442,0.5889,0.02724,39.05463,56.90686,0.15665381,0.02724491,0.16315637,0
171,5.0,200,200,50,0.2,69.06741,0.01189,0.5889,0.0813,62.86598,69.12356,0.15665381,0.08129739,0.06324555,0
171,5.0,200,200,50,0.25,65.24707,0.01456,0.5889,0.1665,56.51943,65.35571,0.15665381,0.16650556,0.07905694,0
171,5.0,200,200,50,0.3,62.58437,0.01735,0.5889,0.25358,51.70538,62.74307,0.15665381,0.25357769,0.09486833,0
171,5.0,200,200,50,0.35,60.88652,0.02044,0.5889,0.24471,48.05454,61.03551,0.15665381,0.24470113,0.11067972,0
171,5.0,200,200,50,0.4,59.89428,0.02398,0.5889,0.1617,45.23843,59.99113,0.15665381,0.16170158,0.12649111,0
171,5.0,200,200,50,0.45,59.3311,0.02809,0.5889,0.16635,43.02204,59.4298,0.15665381,0.16635458,0.14230249,0
171,5.0,200,200,50,0.5,59.26276,0.03316,0.59,0.0147,41.24386,59.25405,0.15665381,0.01469726,0.15811388,0
171,5.0,200,200,50,0.55,59.37584,0.03908,0.591,0.04885,39.79253,59.34684,0.15665381,0.04884141,0.17392527,0
172,0.2,200,200,50,0.2,9.21659,0.00159,0.0,0.00972,9.21749,9.21749,0.15082289,0.009765,0.01264911,0
172,0.2,200,200,50,0.25,10.93391,0.00197,0.591,0.00042,10.92278,10.93387,0.15082289,0.00036583,0.01581139,0
172,0.2,200,200,50,0.3,12.61164,0.00236,0.5889,0.01389,12.5653,12.61339,0.15082289,0.01387607,0.01897367,0
172,0.2,200,200,50,0.35,14.2071,0.00276,0.5889,0.04317,14.08761,14.21323,0.15082289,0.04314744,0.02213594,0
