S0,K,r,m,T,H,sigma,trading_days,price_mc,price,price_adj
100,100,0.0,50,3.7,90,0.2,250,7.001,8.263,9.929
100,100,0.0,50,3.7,90,0.25,250,7.546,8.687,11.054
100,100,0.0,50,3.7,90,0.3,250,7.807,8.972,12.048
100,100,0.0,50,3.7,90,0.35,250,8.129,9.175,12.962
100,100,0.0,50,3.7,90,0.4,250,8.908,9.326,13.822
100,100,0.0,50,3.7,90,0.45,250,9.237,9.441,14.645
100,100,0.0,50,3.7,90,0.5,250,8.508,9.532,15.439
100,100,0.0,50,3.7,90,0.55,250,9.141,9.605,16.211
100,100,0.0,50,3.7,90,0.6,250,9.008,9.665,16.964
100,100,0.0,50,3.8,90,0.2,250,7.091,8.291,9.994
100,100,0.0,50,3.8,90,0.25,250,7.644,8.71,11.124
100,100,0.0,50,3.8,90,0.3,250,7.907,8.991,12.124
100,100,0.0,50,3.8,90,0.35,250,8.234,9.191,13.045
100,100,0.0,50,3.8,90,0.4,250,9.019,9.34,13.912
100,100,0.0,50,3.8,90,0.45,250,8.174,9.454,14.742
100,100,0.0,50,3.8,90,0.5,250,8.602,9.543,15.544
100,100,0.0,50,3.8,90,0.55,250,9.245,9.615,16.323
100,100,0.0,50,3.8,90,0.6,250,9.104,9.673,17.084
100,100,0.0,50,3.9,90,0.2,250,7.18,8.318,10.057
100,100,0.0,50,3.9,90,0.25,250,7.74,8.731,11.193
100,100,0.0,50,3.9,90,0.3,250,7.932,9.009,12.199
100,100,0.0,50,3.9,90,0.35,250,8.337,9.206,13.126
100,100,0.0,50,3.9,90,0.4,250,9.129,9.353,14.001
100,100,0.0,50,3.9,90,0.45,250,8.265,9.465,14.838
100,100,0.0,50,3.9,90,0.5,250,8.666,9.553,15.647
100,100,0.0,50,3.9,90,0.55,250,9.345,9.624,16.434
100,100,0.0,50,3.9,90,0.6,250,9.198,9.681,17.202
100,100,0.0,50,4.0,90,0.2,250,7.268,8.344,10.12
100,100,0.0,50,4.0,90,0.25,250,7.769,8.752,11.26
100,100,0.0,50,4.0,90,0.3,250,7.803,9.026,12.272
100,100,0.0,50,4.0,90,0.35,250,8.438,9.221,13.206
100,100,0.0,50,4.0,90,0.4,250,9.236,9.366,14.087
100,100,0.0,50,4.0,90,0.45,250,8.354,9.476,14.932
100,100,0.0,50,4.0,90,0.5,250,8.743,9.563,15.748
100,100,0.0,50,4.0,90,0.55,250,9.443,9.633,16.542
100,100,0.0,50,4.0,90,0.6,250,9.288,9.689,17.318
100,100,0.0,50,4.1,90,0.2,250,7.253,8.369,10.181
100,100,0.0,50,4.1,90,0.25,250,7.862,8.772,11.326
100,100,0.0,50,4.1,90,0.3,250,7.897,9.043,12.344
100,100,0.0,50,4.1,90,0.35,250,8.241,9.235,13.284
100,100,0.0,50,4.1,90,0.4,250,9.342,9.378,14.173
100,100,0.0,50,4.1,90,0.45,250,8.441,9.487,15.024
100,100,0.0,50,4.1,90,0.5,250,8.835,9.573,15.848
100,100,0.0,50,4.1,90,0.55,250,9.539,9.641,16.649
100,100,0.0,50,4.1,90,0.6,250,9.38,9.697,17.432
100,100,0.0,50,4.2,90,0.2,250,7.337,8.393,10.24
100,100,0.0,50,4.2,90,0.25,250,7.955,8.792,11.39
100,100,0.0,50,4.2,90,0.3,250,7.99,9.059,12.414
100,100,0.0,50,4.2,90,0.35,250,8.336,9.249,13.361
100,100,0.0,50,4.2,90,0.4,250,9.085,9.39,14.257
100,100,0.0,50,4.2,90,0.45,250,8.526,9.498,15.115
100,100,0.0,50,4.2,90,0.5,250,8.925,9.582,15.946
100,100,0.0,50,4.2,90,0.55,250,8.838,9.649,16.755
100,100,0.0,50,4.2,90,0.6,250,9.47,9.704,17.545
100,100,0.0,50,4.3,90,0.2,250,7.365,8.416,10.299
100,100,0.0,50,4.3,90,0.25,250,7.921,8.811,11.454
100,100,0.0,50,4.3,90,0.3,250,8.081,9.075,12.484
100,100,0.0,50,4.3,90,0.35,250,8.43,9.262,13.437
100,100,0.0,50,4.3,90,0.4,250,8.88,9.401,14.34
100,100,0.0,50,4.3,90,0.45,250,8.296,9.508,15.205
100,100,0.0,50,4.3,90,0.5,250,9.013,9.591,16.043
100,100,0.0,50,4.3,90,0.55,250,8.923,9.657,16.859
100,100,0.0,50,4.3,90,0.6,250,9.558,9.711,17.656
100,100,0.0,50,4.4,90,0.2,250,7.447,8.438,10.356
100,100,0.0,50,4.4,90,0.25,250,8.01,8.829,11.516
100,100,0.0,50,4.4,90,0.3,250,8.173,9.09,12.552
100,100,0.0,50,4.4,90,0.35,250,8.523,9.275,13.512
100,100,0.0,50,4.4,90,0.4,250,8.975,9.412,14.421
100,100,0.0,50,4.4,90,0.45,250,8.377,9.517,15.294
100,100,0.0,50,4.4,90,0.5,250,9.1,9.599,16.138
100,100,0.0,50,4.4,90,0.55,250,9.005,9.665,16.961
100,100,0.0,50,4.4,90,0.6,250,9.643,9.717,17.765
100,100,0.0,50,4.5,90,0.2,250,7.527,8.46,10.412
100,100,0.0,50,4.5,90,0.25,250,7.641,8.846,11.577
100,100,0.0,50,4.5,90,0.3,250,7.719,9.105,12.619
100,100,0.0,50,4.5,90,0.35,250,8.614,9.288,13.585
100,100,0.0,50,4.5,90,0.4,250,9.069,9.423,14.501
100,100,0.0,50,4.5,90,0.45,250,8.456,9.526,15.381
100,100,0.0,50,4.5,90,0.5,250,9.161,9.607,16.232
100,100,0.0,50,4.5,90,0.55,250,9.087,9.672,17.062
100,100,0.0,50,4.5,90,0.6,250,9.726,9.724,17.873
100,100,0.0,50,4.6,90,0.2,250,7.538,8.481,10.468
100,100,0.0,50,4.6,90,0.25,250,7.722,8.863,11.638
100,100,0.0,50,4.6,90,0.3,250,7.801,9.119,12.685
100,100,0.0,50,4.6,90,0.35,250,8.704,9.299,13.658
100,100,0.0,50,4.6,90,0.4,250,9.162,9.433,14.58
100,100,0.0,50,4.6,90,0.45,250,8.533,9.535,15.466
100,100,0.0,50,4.6,90,0.5,250,9.246,9.615,16.325
100,100,0.0,50,4.6,90,0.55,250,9.166,9.679,17.161
100,100,0.0,50,4.6,90,0.6,250,9.529,9.73,17.979
100,100,0.0,50,4.7,90,0.2,250,7.616,8.501,10.522
100,100,0.0,50,4.7,90,0.25,250,7.802,8.88,11.697
