S0,K,r,m,T,H,sigma,trading_days,price_iter,price,price_adj,H_percent
110,100,0.1,50,3.8,117,0.2,250,0.06585558894468754,0.0264,0.0712,-6.3636
110,100,0.1,50,3.8,117,0.3,250,0.037271823695272356,0.0103,0.0414,-6.3636
110,100,0.1,50,3.8,117,0.4,250,0.022563112776948606,0.0047,0.0269,-6.3636
110,100,0.1,50,3.8,117,0.5,250,0.015491338262603167,0.0024,0.0193,-6.3636
110,100,0.1,50,3.8,117,0.6,250,0.011086441494897728,0.0014,0.0147,-6.3636
110,100,0.1,50,4.2,117,0.2,250,0.05498918491378087,0.0212,0.06,-6.3636
110,100,0.1,50,4.2,117,0.3,250,0.03176340185679263,0.0085,0.0362,-6.3636
110,100,0.1,50,4.2,117,0.4,250,0.02000678023060459,0.0039,0.0239,-6.3636
110,100,0.1,50,4.2,117,0.5,250,0.013708859355501467,0.002,0.0173,-6.3636
110,100,0.1,50,4.2,117,0.6,250,0.009684011962730195,0.0011,0.0133,-6.3636
110,100,0.1,50,4.6,117,0.2,250,0.04686170066203941,0.0172,0.051,-6.3636
110,100,0.1,50,4.6,117,0.3,250,0.027790907390797988,0.0071,0.0319,-6.3636
110,100,0.1,50,4.6,117,0.4,250,0.017798516073235154,0.0033,0.0215,-6.3636
110,100,0.1,50,4.6,117,0.5,250,0.012241965357938298,0.0017,0.0156,-6.3636
110,100,0.1,50,4.6,117,0.6,250,0.008884821547192714,0.0009,0.0121,-6.3636
110,100,0.1,50,5.0,117,0.2,250,0.03986188742864349,0.0142,0.0438,-6.3636
110,100,0.1,50,5.0,117,0.3,250,0.02451542906053922,0.006,0.0284,-6.3636
110,100,0.1,50,5.0,117,0.4,250,0.015856362082259524,0.0028,0.0194,-6.3636
110,100,0.1,50,5.0,117,0.5,250,0.010961442597859505,0.0014,0.0142,-6.3636
110,100,0.1,50,5.0,117,0.6,250,0.007998485360613731,0.0008,0.011,-6.3636
110,100,0.1,50,0.2,118,0.2,250,3.564079623754487,3.0493,3.59,-7.2727
110,100,0.1,50,0.2,118,0.3,250,1.679557434163471,1.2796,1.6978,-7.2727
110,100,0.1,50,0.2,118,0.4,250,0.911180263843315,0.6224,0.927,-7.2727
110,100,0.1,50,0.2,118,0.5,250,0.5539824527234416,0.3415,0.5679,-7.2727
110,100,0.1,50,0.2,118,0.6,250,0.3678818494671234,0.2051,0.3791,-7.2727
