S0,K,r,m,T,H,sigma,trading_days,price_iter,price,price_adj,H_percent,best_beta,error_percent,q
110,100,0.1,50,2.6,118,0.5,250,0.0292,0.0064,0.0343,-7.2727,0.511,17.4025,0
110,100,0.1,50,2.6,118,0.6,250,0.0206,0.0037,0.0253,-7.2727,0.501,23.0931,0
110,100,0.1,50,3.0,118,0.2,250,0.1244,0.0575,0.1314,-7.2727,0.5399,5.606,0
110,100,0.1,50,3.0,118,0.3,250,0.0626,0.0215,0.0691,-7.2727,0.5289,10.4026,0
110,100,0.1,50,3.0,118,0.4,250,0.0369,0.0097,0.0426,-7.2727,0.5189,15.3683,0
110,100,0.1,50,3.0,118,0.5,250,0.0249,0.005,0.0294,-7.2727,0.5189,17.9812,0
110,100,0.1,50,3.0,118,0.6,250,0.0173,0.0028,0.0219,-7.2727,0.4989,26.8445,0
110,100,0.1,50,3.4,118,0.2,250,0.1004,0.0446,0.1072,-7.2727,0.531,6.8247,0
110,100,0.1,50,3.4,118,0.3,250,0.0526,0.017,0.0586,-7.2727,0.521,11.4172,0
110,100,0.1,50,3.4,118,0.4,250,0.0319,0.0077,0.0368,-7.2727,0.5189,15.528,0
110,100,0.1,50,3.4,118,0.5,250,0.0211,0.004,0.0257,-7.2727,0.5089,22.0173,0
110,100,0.1,50,3.4,118,0.6,250,0.0152,0.0022,0.0192,-7.2727,0.4999,26.7138,0
110,100,0.1,50,3.8,118,0.2,250,0.0827,0.0353,0.0889,-7.2727,0.531,7.4613,0
110,100,0.1,50,3.8,118,0.3,250,0.0448,0.0138,0.0504,-7.2727,0.52,12.4291,0
110,100,0.1,50,3.8,118,0.4,250,0.0278,0.0063,0.0322,-7.2727,0.5189,15.9088,0
110,100,0.1,50,3.8,118,0.5,250,0.0184,0.0032,0.0227,-7.2727,0.501,23.2978,0
110,100,0.1,50,3.8,118,0.6,250,0.0133,0.0018,0.0171,-7.2727,0.4989,28.8023,0
110,100,0.1,50,4.2,118,0.2,250,0.0693,0.0284,0.0747,-7.2727,0.5309,7.8483,0
110,100,0.1,50,4.2,118,0.3,250,0.039,0.0114,0.0439,-7.2727,0.521,12.5697,0
110,100,0.1,50,4.2,118,0.4,250,0.0242,0.0052,0.0285,-7.2727,0.511,17.809,0
110,100,0.1,50,4.2,118,0.5,250,0.0163,0.0027,0.0203,-7.2727,0.501,24.2738,0
110,100,0.1,50,4.2,118,0.6,250,0.0116,0.0015,0.0154,-7.2727,0.491,32.2278,0
110,100,0.1,50,4.6,118,0.2,250,0.0582,0.0231,0.0635,-7.2727,0.5289,9.0323,0
110,100,0.1,50,4.6,118,0.3,250,0.0338,0.0095,0.0387,-7.2727,0.5189,14.3335,0
110,100,0.1,50,4.6,118,0.4,250,0.0214,0.0043,0.0255,-7.2727,0.51,19.4094,0
110,100,0.1,50,4.6,118,0.5,250,0.0146,0.0022,0.0183,-7.2727,0.501,25.5039,0
